c1,c2,u1,u2,t
13,12,0.27596,0.24745,1
13,13,0.27148,0.26963,2
13,14,0.2654,0.29319,5
13,15,0.26451,0.30953,3
13,18,0.26722,0.36435,1
13,26,0.26285,0.53755,1
13,28,0.27774,0.56985,1
13,34,0.26177,0.68833,1
13,35,0.27106,0.71545,3
13,36,0.27035,0.73144,8
13,37,0.2681,0.74928,7
13,38,0.27073,0.76886,10
13,39,0.26884,0.79134,7
13,40,0.27054,0.8116,3
13,41,0.26864,0.83368,4
13,42,0.27059,0.84768,5
13,44,0.27571,0.89523,1
13,46,0.26965,0.92717,1
14,4,0.28931,0.08799,9
14,5,0.28715,0.10677,3
14,6,0.2891,0.12978,5
14,7,0.28324,0.15133,5
14,8,0.289,0.17351,9
14,9,0.29192,0.19141,11
14,10,0.29172,0.20074,1
14,11,0.28968,0.22728,10
14,12,0.2875,0.24904,9
14,13,0.28892,0.27349,5
14,14,0.28926,0.29315,9
14,15,0.29366,0.30484,9
14,16,0.28996,0.3308,10
14,17,0.29276,0.35144,8
14,18,0.28972,0.36829,8
14,19,0.28989,0.38831,8
14,20,0.28824,0.40684,8
14,21,0.29001,0.42815,6
14,22,0.2939,0.44932,11
14,23,0.29276,0.469,7
14,24,0.28903,0.49355,3
14,25,0.29573,0.51243,3
14,26,0.28944,0.53082,10
14,27,0.29068,0.55119,6
14,28,0.28805,0.57196,9
14,29,0.28928,0.58814,6
14,30,0.28957,0.61289,7
14,31,0.2917,0.63263,11
14,32,0.28418,0.6456,7
14,35,0.29334,0.71778,2
14,36,0.28628,0.72938,8
14,37,0.29214,0.74988,10
14,38,0.29076,0.76976,10
14,39,0.29026,0.78825,12
14,40,0.29208,0.80883,7
14,41,0.29134,0.82829,7
14,42,0.29181,0.84739,5
14,48,0.29621,0.97471,1
15,4,0.30633,0.09211,6
15,5,0.31145,0.11086,8
15,6,0.31064,0.12881,11
15,7,0.3089,0.1497,5
15,8,0.30939,0.17002,8
15,9,0.3121,0.19074,10
15,10,0.31232,0.21253,8
15,11,0.30756,0.23104,5
15,12,0.30754,0.25189,6
15,13,0.30747,0.26821,7
15,14,0.3116,0.29023,7
15,15,0.30465,0.31036,3
15,16,0.30836,0.32975,3
15,17,0.3102,0.3492,10
15,18,0.31377,0.36667,11
15,19,0.31039,0.38556,4
15,20,0.31224,0.41157,11
15,21,0.3115,0.43408,9
15,22,0.31119,0.44996,11
15,23,0.30982,0.46829,9
15,24,0.30943,0.48989,7
15,25,0.31245,0.50914,9
15,26,0.3083,0.52422,7
15,27,0.30811,0.55049,5
15,28,0.30956,0.5713,11
15,29,0.30727,0.59347,6
15,30,0.30775,0.60998,10
15,31,0.30883,0.6272,9
15,32,0.30778,0.64645,3
15,35,0.30798,0.70792,2
15,36,0.30688,0.72877,2
15,37,0.30837,0.74929,7
15,38,0.3143,0.76944,12
15,39,0.3059,0.79139,5
15,40,0.30641,0.81114,7
15,41,0.31181,0.83504,2
15,42,0.30809,0.84784,6
15,45,0.31804,0.91735,1
15,48,0.30992,0.9667,1
16,3,0.32123,0.074,2
16,4,0.33016,0.09219,5
16,5,0.32659,0.11356,5
16,6,0.32611,0.1286,4
16,7,0.32886,0.148,9
16,8,0.33409,0.17277,5
16,9,0.32934,0.18821,7
16,10,0.33298,0.20916,8
16,11,0.32849,0.23006,5
16,12,0.33052,0.25262,12
16,13,0.33213,0.26668,4
16,14,0.32889,0.28788,4
16,15,0.32924,0.30978,12
16,16,0.32899,0.32868,11
16,17,0.33195,0.35043,8
16,18,0.32841,0.37104,7
16,19,0.33301,0.38926,5
16,20,0.32992,0.41143,12
16,21,0.32836,0.43281,4
16,22,0.32973,0.44989,9
16,23,0.32797,0.4713,10
16,24,0.33409,0.4946,4
16,25,0.33073,0.51166,9
16,26,0.3292,0.53,9
16,27,0.33521,0.5496,6
16,28,0.32765,0.56814,14
16,29,0.32956,0.58992,5
16,30,0.33253,0.61065,7
16,31,0.33036,0.63212,10
16,32,0.33042,0.64647,7
16,33,0.32377,0.66474,1
16,35,0.3377,0.7123,2
16,36,0.33159,0.72961,9
16,37,0.33272,0.74759,10
16,38,0.33135,0.76972,7
16,39,0.32984,0.79174,9
16,40,0.32799,0.81072,6
16,41,0.32702,0.82882,6
16,42,0.33183,0.84771,6
16,46,0.32442,0.92465,1
16,47,0.32444,0.95156,2
16,48,0.32615,0.96481,2
16,49,0.33168,0.98755,2
17,4,0.34412,0.09676,3
17,5,0.34289,0.11393,5
17,6,0.34565,0.12592,6
17,7,0.35082,0.14796,5
17,8,0.35074,0.16844,9
17,9,0.34386,0.19524,2
17,10,0.34451,0.20945,4
17,11,0.3434,0.23015,4
17,12,0.34343,0.24345,2
17,13,0.34321,0.27085,3
17,14,0.34653,0.29225,1
17,15,0.34298,0.31176,4
17,16,0.34378,0.33398,3
17,17,0.34693,0.35264,2
17,18,0.34666,0.3661,2
17,19,0.34424,0.39113,2
17,20,0.34123,0.40877,4
17,21,0.34238,0.43279,4
17,22,0.34366,0.45104,6
17,23,0.34488,0.46925,1
17,24,0.34516,0.48697,3
17,25,0.34521,0.5003,1
17,26,0.34486,0.5297,4
17,27,0.34497,0.55227,3
17,28,0.34776,0.56732,4
17,29,0.34556,0.58984,3
17,30,0.34349,0.60507,2
17,31,0.34446,0.62641,2
17,32,0.35023,0.64644,3
17,35,0.34785,0.71382,2
17,36,0.34869,0.72996,10
17,37,0.349,0.75331,9
17,38,0.35152,0.77071,6
17,39,0.34913,0.7885,13
17,40,0.34919,0.8068,5
17,41,0.35339,0.8332,8
17,42,0.34917,0.84905,3
17,43,0.35096,0.87449,1
17,47,0.34541,0.94952,1
17,49,0.35753,0.98995,2
18,2,0.36531,0.05283,1
18,7,0.36087,0.15945,1
18,8,0.36009,0.17634,1
18,9,0.36267,0.18769,3
18,10,0.36435,0.21149,5
18,11,0.373,0.2369,2
18,12,0.37112,0.25086,2
18,13,0.37636,0.27512,2
18,14,0.37816,0.28779,2
18,15,0.37299,0.3056,2
18,23,0.36761,0.47049,2
18,26,0.37836,0.53984,1
18,27,0.37103,0.54175,1
18,30,0.36485,0.61666,1
18,33,0.37907,0.66859,1
18,34,0.3647,0.69634,2
18,35,0.37338,0.71139,1
18,36,0.37126,0.7298,12
18,37,0.36878,0.7511,7
18,38,0.36643,0.7717,8
18,39,0.369,0.79332,9
18,40,0.37039,0.81252,6
18,41,0.36846,0.82988,6
18,42,0.36893,0.84385,4
18,44,0.37848,0.88016,1
19,2,0.38203,0.04675,1
19,4,0.39082,0.09041,1
19,5,0.39744,0.1072,1
19,13,0.38091,0.26429,1
19,14,0.38727,0.29437,3
19,15,0.39279,0.31036,5
19,16,0.39081,0.32399,5
19,17,0.39377,0.35057,8
19,18,0.39497,0.36865,2
19,19,0.39576,0.39555,6
19,20,0.39476,0.40809,4
19,21,0.39564,0.42988,2
19,22,0.39639,0.45005,2
19,23,0.39704,0.47905,2
19,24,0.39927,0.49055,1
19,25,0.39637,0.50664,4
19,26,0.39608,0.52401,1
19,27,0.39836,0.55702,2
19,28,0.39741,0.57736,2
19,30,0.39682,0.61347,3
19,31,0.39695,0.62694,3
